apk_name,navigator.getBattery,navigator.camera,device,navigator.notification,cordova.file,navigator.geolocation,cordova.InAppBrowser,Media,navigator.device.capture,navigator.connection,screen.orientation,navigator.splashscreen,StatusBar,navigator.vibrate
com.ilscipio.browseo,0,0,17,0,0,0,0,85,0,0,0,0,0,0
com.valueapps.christmas.newsantatracker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.opencorebanking.martfree,0,1,1,2,0,1,0,1,1,2,0,1,0,0
com.niagara.canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.keepers.friocerofinal,0,1,1,1,0,1,0,3,1,2,0,1,0,0
com.darts_scorer.dartsScorer,0,0,1,0,0,0,0,98,0,1,0,0,0,0
org.devgeeks.fourzzzfm,0,6,7,5,0,2,0,16,2,0,0,0,0,0
com.invish.toddler,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cl.androidapps.metrovalpo,0,6,50,2,0,8,0,64,2,0,0,0,0,0
com.riflebid,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it.bettinglife.mobile.lite,0,0,1,0,0,0,0,98,0,1,0,0,0,0
org.sfgov.web,0,2,2,2,0,1,0,1,2,0,0,0,0,0
com.app.telkomvision,0,1,1,2,0,1,0,3,1,2,0,1,0,0
com.randommunch,0,0,57,2,0,1,0,98,0,1,0,0,0,0
org.caou.bouncetothemoon,0,0,1,1,0,0,0,4,0,0,0,0,0,0
mobi.tapto.loadr,0,0,4,0,0,5,0,2,0,0,0,0,0,0
com.groundroad.salecalc,0,6,50,2,0,8,0,64,2,0,0,0,0,0
com.enmerchant.turnchef,0,1,8,1,0,1,0,3,1,2,0,1,0,0
com.icommerce.ece,0,4,51,3,0,8,0,54,2,0,0,0,0,0
com.bistri.prace,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.urnotl.thepositivefactors,0,6,1,3,0,8,0,64,2,0,0,0,0,0
com.degenet.reiortiz,0,0,1,1,0,0,0,1,0,0,0,0,0,0
it.nowhere.afcoltellerie,0,1,8,2,0,1,0,94,1,2,0,1,0,0
com.gamzaz.app,0,2,2,11,0,1,0,5,2,0,0,0,0,0
com.eurovisionspain.eurovision_spain,0,1,21,6,0,1,0,3,1,2,0,1,0,0
ch.mitinnovation.apps.luegeten,0,0,36,1,0,7,0,80,0,0,0,0,0,0
com.labaix.roomheatpowcalc,0,0,1,0,0,0,0,0,0,0,0,0,0,0
com.spluhdap.hangmantogo,0,0,113,0,0,2,0,14,0,0,0,0,0,0
com.mobilecrud.clickorclash,0,1,8,8,0,1,0,3,1,2,0,1,0,0
com.spotamo.app,0,0,10,0,0,0,0,0,0,0,0,0,0,0
com.szappatini.timber,0,1,1,1,0,0,0,1,0,0,0,1,0,0
com.english.rhymes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.prolateral.outmailusage,0,1,1,2,0,1,0,87,0,0,0,0,0,0
ac.defib.mobile,0,6,8,2,0,7,0,2,2,0,0,2,0,0
nl.markdegroot.harenharen,0,1,5,2,0,1,0,94,1,2,0,1,0,0
sg.com.safraradio.jia883fm,0,2,3,3,0,0,0,5,0,0,0,0,0,0
com.thebes.callconfirmfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ch.schwingenonline.android (1),0,1,19,2,0,1,0,84,1,2,0,1,0,0
com.senddr.mobile,0,1,2,4,0,1,0,94,1,1,0,1,0,0
com.etpio.footwork,0,1,1,5,0,8,0,87,0,0,0,0,0,0
com.sweetnspicy.recipes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.soffia.thealphabet,0,1,7,2,0,1,0,64,2,0,0,0,0,0
com.andygreen.AndyGreen,0,1,141,2,0,2,0,94,1,1,0,2,0,0
com.rouxbee.dottodotzoo.free,0,0,36,0,0,0,0,1,0,0,0,0,0,0
net.mpowers.brigade.android,0,4,2,3,0,8,0,44,0,0,0,0,0,0
com.isuagm.suagm,0,0,1,1,0,2,0,98,0,1,0,1,0,0
com.phenu.speeker,0,1,8,2,0,1,0,4,1,2,0,1,2,0
com.camden.phonegapmega,0,2,1,4,0,3,0,1,3,0,0,0,0,0
com.phonegap.bearthdays,0,1,8,2,0,2,0,2,2,0,0,0,0,0
com.HangmanCreator,0,2,30,4,0,2,0,16,2,0,0,0,0,0
com.opentangerine.ejero.mobile,0,0,1,6,0,0,0,98,0,1,0,0,0,0
ntg.fuelstation.finder,0,0,1,10,0,1,0,87,0,0,0,0,0,0
net.ikeretxebarria.euskeraz,0,4,1,1,0,8,0,54,2,0,0,0,0,0
de.disupport.GDApp,0,1,8,2,0,8,0,64,2,0,0,0,0,0
com.kuernel.games.coupling,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.buzzvote.mobileapp,0,2,1,0,0,0,0,98,0,1,0,0,0,0
org.guess.that,0,1,1,2,0,1,0,1,1,2,0,1,0,0
com.stungeye.winnipegnews,0,0,1,0,0,0,0,80,0,0,0,0,0,0
com.ironServices.audioBooks,0,0,3,0,0,0,0,13,0,1,0,1,0,0
com.mindtricksdev.mathiq,0,1,11,5,0,1,0,1,1,2,0,2,0,0
com.icode.pataterie,0,1,58,2,0,1,0,94,1,2,0,1,0,0
com.wizardtykes.phonegap,0,6,2,1,0,4,0,1,2,1,0,1,0,0
com.aragon.kairos,0,0,1,0,0,0,0,1,0,0,0,0,2,0
com.auctions411.cloudpos,0,1,1,1,0,1,0,3,0,0,0,0,0,0
com.mds.applaud,0,6,50,4,0,8,0,64,2,0,0,0,0,0
com.thebes.smspopupfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloud4apps.cBlocker,0,0,7,0,0,0,0,1,0,0,0,0,0,0
com.VergeSystems.WebHR,0,0,8,0,0,0,0,3,0,0,0,0,0,0
org.voxteneo,0,5,1,1,0,4,0,87,0,0,0,0,2,0
com.healthtap.userhtexpress,0,5,11,2,0,1,0,88,0,1,0,0,7,0
cz.burger.android.phonegap.mobileprsi,0,4,41,4,0,8,0,46,0,0,0,0,0,0
com.SpaceStationFinder,0,0,2,0,0,3,0,1,0,0,0,0,0,0
org.seciconsulting.mrfoggpuglia,0,6,1,2,0,2,0,3,1,4,0,1,0,0
com.jazzlebags.assgassfree,0,1,58,2,0,1,0,94,1,2,0,1,0,0
com.summit.conduitfilltracker,0,0,1,0,0,0,0,98,0,1,0,1,0,0
com.sixstephens.knotster,0,0,1,0,0,0,0,87,0,0,0,0,0,0
com.phonegap.mabc,0,1,7,2,0,1,0,87,0,0,0,0,0,0
com.guessmypic,0,3,27,4,0,1,0,1,0,0,0,0,0,0
com.yip.roll7days,0,1,58,2,0,1,0,94,1,2,0,1,0,0
com.sjdm.pip.android,0,1,2,2,0,5,0,3,1,2,0,1,0,0
se.svenskchefsforening.nysomchef,0,0,36,0,0,0,0,80,0,0,0,0,0,0
com.addval.wimbimed,0,0,0,0,0,0,0,0,0,0,0,0,0,0
us.skyb.skysigns,0,5,2,2,0,8,0,56,2,0,0,0,0,0
com.apps.budget,0,1,8,1,0,1,0,94,1,2,0,1,0,0
mx.com.tekne.mobile.gotocinema,0,1,36,2,0,2,0,80,0,0,0,0,0,0
com.mulvaney.go2012,0,0,1,3,0,4,0,90,0,0,0,0,0,0
com.appsbuilder241206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.reachtree.profile,0,1,2,2,0,2,0,98,0,1,0,1,0,0
com.creativegrid.feltfactoryfree,0,3,2,2,0,8,0,64,2,0,0,0,0,0
SevenSky_Main_Android.SevenSky_Main_Android (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.phonegap.unfpa,0,0,1,0,0,0,0,3,0,0,0,1,0,0
com.racingsolution.mobileautoscene,0,0,1,0,0,0,0,3,0,1,0,0,0,0
com.phonegap.myvidster,0,2,3,1,0,3,0,24,1,2,0,1,1,0
com.webprofusion.openchargemap,0,1,1,1,0,4,0,3,1,2,0,1,0,0
com.aryaco.mobile,0,0,1,0,0,1,0,2,0,1,0,0,0,0
com.pride.lgbt,0,2,5,1,0,1,0,2,0,0,0,0,0,0
com.phonegap.bostaden,0,5,1,11,0,8,0,56,2,0,0,0,0,0
trackgps.mobilskys.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.springmobile.employee,0,1,7,3,0,3,0,5,1,2,0,1,0,0
com.skytoplabs.kapeesh,0,0,8,0,0,0,0,2,0,1,0,0,0,0
com.appnjoy.sightonme,0,5,7,2,0,8,0,1,2,0,0,0,0,0
com.protestai,0,4,1,6,0,2,0,10,1,8,0,1,0,0
com.ironServices.fullDictionary,0,0,3,0,0,0,0,13,0,1,0,1,0,0
com.shweproperty.mobile,0,1,8,2,0,2,0,97,1,2,0,1,0,0
com.richapps.games,0,1,8,2,0,1,0,87,1,2,0,4,0,0
uk.co.sireassemblies.newspeyefree,0,1,8,2,0,1,0,94,1,2,0,1,0,0
com.jsplash.apps.sightreadingimprover,0,4,51,3,0,8,0,54,2,0,0,0,0,0
appnjoy.tippyeng,0,6,52,2,0,8,0,64,2,0,0,0,0,0
uk.ac.edina.mobile,0,1,3,2,0,1,0,94,1,2,0,1,0,0
com.obacht.game,0,1,4,2,0,1,0,94,1,2,0,1,0,0
appinventor.ai_p_tuttoilmondo.Fools,0,0,1,1,0,0,0,95,0,0,0,0,0,0
pl.desmart.gcb_event,0,1,28,9,0,0,0,98,0,0,0,0,0,0
com.battlefit.app,0,1,1,7,0,1,0,1,1,2,0,1,0,0
com.shaheeilyas.NakaiyNevi,0,0,2,0,0,0,0,98,0,1,0,0,0,0
com.livetrails,0,1,1,2,0,4,0,1,0,1,0,0,0,0
com.curbednetwork.eater,0,0,1,0,0,1,0,96,0,1,0,1,0,0
lab.chsmedien.mensaapp,0,0,29,15,0,1,0,98,0,1,0,0,0,0
com.phonegap.wordart,0,0,1,0,0,0,0,87,0,0,0,0,0,0
com.carel.climate,0,0,2,21,0,2,0,1,0,0,0,0,0,0
com.kliktrayllc.doctray,0,5,4,3,0,8,0,56,2,0,0,0,0,0
com.lasyk.tpdb,0,1,1,2,0,1,0,3,1,2,0,1,0,0
br.com.xaveco,0,0,47,0,0,0,0,87,0,0,0,0,0,0
com.sezonegames.ge2,0,4,2,1,0,8,0,46,0,0,0,0,0,0
mobile.coyote,0,0,53,0,0,4,0,101,0,1,0,0,0,0
com.inidfab.srm.priceassist,0,6,1,2,0,8,0,63,2,0,0,0,0,0
mx.com.tekne.mobile,0,6,6,2,0,2,0,19,3,0,0,0,0,0
de.nak.news,0,6,9,2,0,1,0,54,2,1,0,2,0,0
org.meshtek.countrieshangman,0,4,1,3,0,8,0,2,0,0,0,0,0,0
com.basketusa.appandroid,0,1,3,2,0,2,0,13,1,1,0,1,0,0
by.budget001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.refulgenceinc.bluediamond,0,1,4,10,0,1,0,94,1,2,0,1,0,0
com.orange.labs.coverscan,0,3,57,5,0,0,0,98,0,1,0,1,0,0
nl.app33.vakmedianet.ohnw,0,0,58,0,0,4,0,95,0,0,0,1,0,0
com.powertools.AlcLevelFree,0,0,8,0,0,0,0,1,0,1,0,0,0,0
com.thebes.converterfree,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.superurchin.manup,0,0,3,2,0,0,0,98,0,1,0,0,0,0
com.root.Dineline,0,1,57,2,0,2,0,98,1,1,0,1,0,0
de.werzahltmehr,0,5,1,1,0,8,0,56,2,0,0,0,0,0
org.meshtek.wonders7,0,4,30,3,0,8,0,46,0,0,0,0,0,0
com.m0rg0t.victorium.book,0,5,7,2,0,1,0,1,2,0,0,0,0,0
beep.dhenriquez.cl,0,0,47,0,0,0,0,87,0,0,0,0,0,0
com.faber04.ilostmycar,0,1,63,2,0,1,0,94,1,2,0,1,0,0
com.botsol.miteam,0,12,1,0,0,4,0,95,0,0,0,0,0,0
com.trashnothing.app,0,1,10,2,0,3,0,3,1,2,0,1,0,0
org.dossou.app.meteoMoto,0,1,1,2,0,1,0,94,1,2,0,1,0,0
com.fanfa.altimetro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.catode.cities.languagehtml5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.saj.memory_check,0,0,57,2,0,0,0,2,0,1,0,0,0,0
saypu.com,0,1,3,1,0,1,0,87,0,0,0,0,0,0
ch.webacons.backstage,0,4,2,1,0,2,0,4,0,0,0,0,0,0
com.collabera.TollFreeNumbers,0,5,47,2,0,8,0,66,2,0,0,2,0,0
com.appinmotion.artofwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blacknWhite.CallBlockerTimerWidget,0,0,1,1,0,0,0,1,0,0,0,0,0,0
com.labid.varesenews,0,0,1,0,0,0,0,3,0,1,0,0,0,0
com.appfilia.android.tresnchapa,0,0,57,0,0,0,0,98,0,1,0,0,0,0
com.dietrichs.areacalculator,0,0,45,5,0,4,0,90,0,0,0,0,0,0
digitalissimo.it,0,0,55,0,0,0,0,87,0,0,0,0,0,0
com.phonegap.fruit_salad,0,0,59,0,0,0,0,87,0,0,0,0,0,0
com.stungeye.meowreader,0,6,50,2,0,8,0,64,2,0,0,0,0,0
com.faber04.romasposa,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KGRSystems.iLearnPad.ryanki1,0,0,1,0,0,0,0,4,0,0,0,0,0,0
com.designtailors.Translator,0,0,57,0,0,0,0,98,0,1,0,0,0,0
