apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration,config.xml,plugins.xml
com.appnjoy.sightonme,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.protestai,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1
com.ironServices.fullDictionary,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1
com.shweproperty.mobile,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.richapps.games,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
uk.co.sireassemblies.newspeyefree,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.jsplash.apps.sightreadingimprover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appnjoy.tippyeng,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
uk.ac.edina.mobile,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1
com.obacht.game,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
appinventor.ai_p_tuttoilmondo.Fools,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
pl.desmart.gcb_event,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.battlefit.app,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
com.shaheeilyas.NakaiyNevi,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.livetrails,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.curbednetwork.eater,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0
lab.chsmedien.mensaapp,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0
com.phonegap.wordart,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.carel.climate,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.kliktrayllc.doctray,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.lasyk.tpdb,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
br.com.xaveco,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
com.sezonegames.ge2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobile.coyote,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.inidfab.srm.priceassist,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
mx.com.tekne.mobile,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
de.nak.news,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
org.meshtek.countrieshangman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.basketusa.appandroid,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0
com.refulgenceinc.bluediamond,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.orange.labs.coverscan,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0
nl.app33.vakmedianet.ohnw,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.powertools.AlcLevelFree,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.superurchin.manup,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.root.Dineline,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
de.werzahltmehr,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
org.meshtek.wonders7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.m0rg0t.victorium.book,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
beep.dhenriquez.cl,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.faber04.ilostmycar,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.botsol.miteam,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.trashnothing.app,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
org.dossou.app.meteoMoto,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.saj.memory_check,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
saypu.com,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0
ch.webacons.backstage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.collabera.TollFreeNumbers,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
blacknWhite.CallBlockerTimerWidget,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
com.labid.varesenews,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.appfilia.android.tresnchapa,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.dietrichs.areacalculator,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
