apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
com.buzzvote.mobileapp,13,8,74,1,0,7,0,0,0,98,0,10,0,0,0
org.guess.that,13,9,75,1,2,8,1,1,0,1,1,11,1,0,0
com.stungeye.winnipegnews,13,3,66,1,0,6,0,0,0,80,0,4,0,0,0
com.ironServices.audioBooks,12,6,47,3,0,1,0,0,0,13,0,5,1,0,0
com.mindtricksdev.mathiq,13,9,75,11,5,8,1,1,0,1,1,11,2,0,0
com.icode.pataterie,13,9,75,58,2,8,1,1,0,94,1,11,1,0,0
com.wizardtykes.phonegap,13,11,78,2,1,7,4,0,0,1,2,5,1,0,0
com.aragon.kairos,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0
com.auctions411.cloudpos,13,7,68,1,1,7,1,0,0,3,0,3,0,0,0
com.mds.applaud,13,33,41,50,4,5,8,0,0,64,2,5,0,0,0
cloud4apps.cBlocker,13,6,74,7,0,7,0,0,0,1,0,6,0,0,0
com.VergeSystems.WebHR,0,0,0,8,0,0,0,0,0,3,0,1,0,0,0
org.voxteneo,13,11,75,1,1,7,4,0,0,87,0,1,0,2,0
com.healthtap.userhtexpress,12,10,44,11,2,6,1,0,0,88,0,2,0,7,0
com.SpaceStationFinder,13,6,74,2,0,7,3,0,0,1,0,4,0,0,0
org.seciconsulting.mrfoggpuglia,13,13,53,1,2,8,2,2,0,3,1,13,1,0,0
com.jazzlebags.assgassfree,13,8,75,58,2,8,1,1,0,94,1,11,1,0,0
com.summit.conduitfilltracker,13,6,74,1,0,7,0,0,0,98,0,10,1,0,0
com.sixstephens.knotster,13,5,74,1,0,7,0,0,0,87,0,4,0,0,0
com.phonegap.mabc,13,6,68,7,2,7,1,0,0,87,0,4,0,0,0
com.guessmypic,13,4,68,27,4,7,1,0,0,1,0,4,0,0,0
com.yip.roll7days,13,8,75,58,2,8,1,1,0,94,1,11,1,0,0
com.sjdm.pip.android,13,8,75,2,2,8,5,1,0,3,1,11,1,0,0
se.svenskchefsforening.nysomchef,13,3,66,36,0,6,0,0,0,80,0,4,0,0,0
us.skyb.skysigns,0,25,41,2,2,5,8,0,0,56,2,5,0,0,0
com.apps.budget,13,9,68,8,1,8,1,1,0,94,1,3,1,0,0
mx.com.tekne.mobile.gotocinema,13,4,67,36,2,6,2,0,0,80,0,4,0,0,0
com.mulvaney.go2012,13,5,78,1,3,1,4,0,0,90,0,4,0,0,0
com.reachtree.profile,3,7,38,2,2,1,2,0,0,98,0,2,1,0,0
com.creativegrid.feltfactoryfree,13,4,41,2,2,5,8,0,0,64,2,5,0,0,0
com.phonegap.unfpa,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0
com.racingsolution.mobileautoscene,13,6,74,1,0,8,0,0,0,3,0,10,0,0,0
com.phonegap.myvidster,13,10,75,3,1,1,3,1,0,24,1,11,1,1,0
com.webprofusion.openchargemap,13,7,75,1,1,7,4,1,0,3,1,6,1,0,0
com.aryaco.mobile,13,6,74,1,0,7,1,0,0,2,0,2,0,0,0
com.pride.lgbt,13,5,66,5,1,6,1,0,0,2,0,2,0,0,0
com.phonegap.bostaden,0,25,41,1,11,5,8,0,0,56,2,3,0,0,0
trackgps.mobilskys.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.springmobile.employee,13,8,68,7,3,8,3,1,0,5,1,3,1,0,0
com.skytoplabs.kapeesh,13,6,74,8,0,7,0,0,0,2,0,5,0,0,0
com.appnjoy.sightonme,0,25,41,7,2,5,8,0,0,1,2,5,0,0,0
com.protestai,12,11,48,1,6,7,2,1,0,10,1,9,1,0,0
com.ironServices.fullDictionary,12,6,47,3,0,1,0,0,0,13,0,5,1,0,0
com.shweproperty.mobile,13,8,80,8,2,8,2,1,0,97,1,3,1,0,0
com.richapps.games,12,8,48,8,2,7,1,1,0,87,1,3,4,0,0
uk.co.sireassemblies.newspeyefree,13,9,68,8,2,8,1,1,0,94,1,3,1,0,0
appnjoy.tippyeng,13,33,41,52,2,5,8,0,0,64,2,5,0,0,0
uk.ac.edina.mobile,13,9,75,3,2,2,1,1,0,94,1,5,1,0,0
com.obacht.game,13,9,75,4,2,8,1,1,0,94,1,3,1,0,0
appinventor.ai_p_tuttoilmondo.Fools,13,6,74,1,1,7,0,0,0,95,0,6,0,0,0
pl.desmart.gcb_event,12,17,47,28,9,7,0,0,0,98,0,1,0,0,0
com.battlefit.app,13,2,75,1,7,8,1,1,0,1,1,5,1,0,0
com.shaheeilyas.NakaiyNevi,13,6,74,2,0,7,0,0,0,98,0,2,0,0,0
com.livetrails,13,2,74,1,2,8,4,0,0,1,0,2,0,0,0
com.curbednetwork.eater,13,7,74,1,0,8,1,0,0,96,0,2,1,0,0
lab.chsmedien.mensaapp,13,6,78,29,15,7,1,0,0,98,0,5,0,0,0
com.phonegap.wordart,13,6,74,1,0,7,0,0,0,87,0,4,0,0,0
com.carel.climate,13,5,74,2,21,7,2,0,0,1,0,4,0,0,0
com.kliktrayllc.doctray,0,25,41,4,3,5,8,0,0,56,2,5,0,0,0
com.lasyk.tpdb,13,9,75,1,2,8,1,1,0,3,1,3,1,0,0
br.com.xaveco,13,5,74,47,0,7,0,0,0,87,0,4,0,0,0
mobile.coyote,13,6,78,53,0,7,4,0,0,101,0,5,0,0,0
com.inidfab.srm.priceassist,13,33,41,1,2,5,8,0,0,63,2,1,0,0,0
mx.com.tekne.mobile,13,33,26,6,2,5,2,0,0,19,3,5,0,0,0
de.nak.news,16,32,43,9,2,5,1,1,0,54,2,2,2,0,0
com.basketusa.appandroid,13,9,80,3,2,8,2,1,0,13,1,7,1,0,0
com.refulgenceinc.bluediamond,13,8,75,4,10,8,1,1,0,94,1,11,1,0,0
com.orange.labs.coverscan,13,9,74,57,5,7,0,0,0,98,0,10,1,0,0
nl.app33.vakmedianet.ohnw,13,6,74,58,0,7,4,0,0,95,0,6,1,0,0
com.powertools.AlcLevelFree,13,6,74,8,0,7,0,0,0,1,0,10,0,0,0
com.superurchin.manup,13,6,74,3,2,7,0,0,0,98,0,10,0,0,0
com.root.Dineline,13,7,76,57,2,7,2,1,0,98,1,10,1,0,0
de.werzahltmehr,0,25,41,1,1,5,8,0,0,56,2,1,0,0,0
com.m0rg0t.victorium.book,0,25,41,7,2,5,1,0,0,1,2,5,0,0,0
beep.dhenriquez.cl,13,5,74,47,0,7,0,0,0,87,0,4,0,0,0
com.faber04.ilostmycar,13,9,75,63,2,8,1,1,0,94,1,11,1,0,0
com.botsol.miteam,13,18,74,1,0,7,4,0,0,95,0,6,0,0,0
com.trashnothing.app,13,5,75,10,2,8,3,1,0,3,1,6,1,0,0
org.dossou.app.meteoMoto,13,9,75,1,2,8,1,1,0,94,1,11,1,0,0
com.catode.cities.languagehtml5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.saj.memory_check,13,6,74,57,2,7,0,0,0,2,0,10,0,0,0
saypu.com,13,7,68,3,1,7,1,0,0,87,0,4,0,0,0
com.collabera.TollFreeNumbers,13,26,43,47,2,5,8,0,0,66,2,6,2,0,0
blacknWhite.CallBlockerTimerWidget,13,6,74,1,1,7,0,0,0,1,0,6,0,0,0
com.labid.varesenews,12,5,47,1,0,6,0,0,0,3,0,5,0,0,0
com.appfilia.android.tresnchapa,13,6,74,57,0,7,0,0,0,98,0,10,0,0,0
com.dietrichs.areacalculator,13,5,78,45,5,7,4,0,0,90,0,4,0,0,0
digitalissimo.it,13,6,74,55,0,7,0,0,0,87,0,4,0,0,0
com.phonegap.fruit_salad,13,6,74,59,0,7,0,0,0,87,0,4,0,0,0
com.stungeye.meowreader,13,33,41,50,2,5,8,0,0,64,2,5,0,0,0
com.faber04.romasposa,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
KGRSystems.iLearnPad.ryanki1,13,6,74,1,0,7,0,0,0,4,0,4,0,0,0
com.designtailors.Translator,13,6,74,57,0,7,0,0,0,98,0,10,0,0,0
com.inviqa.Rower,13,6,74,1,3,3,0,0,0,1,0,5,0,0,0
com.tip2u.mobile,13,6,74,8,2,7,1,0,0,87,0,4,1,0,0
app.rawi.android,4,6,25,1,5,1,5,1,0,1,3,3,1,0,0
com.webcamscz.map,13,9,75,2,12,1,2,1,0,94,1,10,1,0,0
com.albernamij.numberIllusion,13,33,41,50,2,5,8,0,0,64,2,5,0,0,0
